,smiles
41,C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1
42,C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1
43,C=Cc1ccnc(-c2ccc3c(c2)NC(=O)C3=c2ccc(=c3ccc(=C4C(=O)Nc5cc(C#N)ccc54)s3)s2)n1
44,C=Cc1ccnc(-c2ncc(-c3c4c(cc5cscc35)N=S=N4)cn2)n1
45,C=Cc1ccnc(C2=C3C(=O)N(C)C(c4ccc5c(c4)N(C)C(=O)C5=C4C(=O)N(C)c5ccccc54)=C3C(=O)N2C)n1
46,C=Cc1ccnc(C2=C3C(=O)N(C)C(c4nccc(C=Cc5c(F)c(F)c(F)c(F)c5F)n4)=C3C(=O)N2C)n1
47,C=Cc1ccnc(C2=C3C(=O)N(C)C(c4sc(C5COc6nsnc6O5)c5c4SCCO5)=C3C(=O)N2C)n1
48,C=c1c(C)c2c(-c3ccccc3)c3c(c(-c4ccccc4)c2n1-c1ccccc1)=C(C)C(=O)N3
49,C=c1ccc(=C2C=CC(=O)C(c3sc(-c4ccccc4)cc3-c3ccccc3)=C2)cc1
50,CC#CC1=CC=C1C
51,CC(=C(C)c1ccc(-c2ccc(-c3cc4c(s3)-c3sc(-c5ccc(C)s5)cc3[Si]4(C)C)s2)s1)c1ccc(C)s1
52,CC(=C(C)c1ccc(C2=Cc3c(C=C(c4ccccc4)c4ccccc4)oc(-c4ccc(C(O)=C(C)c5ccccc5)cc4)c3C(=O)C2=O)cc1)c1ccccc1
53,CC(=C(c1ccccc1)c1ccc2c3ccc(-c4ccc(-c5ccc(C6=C7C(=O)N(c8ccccc8)C(c8ccc(-c9ccc(-c%10ccccc%10)s9)s8)=C7C(=O)N6c6ccccc6)s5)s4)cc3n(-c3ccccc3)c2c1)c1ccccc1
54,CC(C#N)=Cc1cc2sc3c(c2c2c(C(O)=C(C)C)cccc12)=C(O)CNC=3C
55,CC(C)(C)C1=C2CCC2=C1C(C)(C)C
56,CC(C)(C)c1c2cc3nc4c(nc3c(C(C)(C)C)c2cc2nc3c(nc12)-c1c(O)c(O)c(C(C)(C)C)c2c(C(C)(C)C)c(O)c(O)c-3c12)-c1c(O)c(O)c(C(C)(C)C)c2c(C(C)(C)C)c(O)c(O)c-4c12
57,CC(C)(C)c1cc2c(c(-c3ccccc3)cc3c(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4-c4ccccc4)c4cc(-c5ccccc5)c5c(-c6ccccc6)c(=O)c(C(C)(C)C)cc5c4oc32)c(-c2ccccc2)c1O
58,CC(C)(C)c1cc2c(c(-c3ccccc3)cc3nc4cc(-c5ccccc5)c5c(-c6ccccc6)c(=O)c(C(C)(C)C)cc5c4oc32)c(-c2ccccc2)c1O
59,CC(C)(C)c1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(-c4ccc(C(C)(C)C)cc4)c4ccccc4c(-c4ccccc4)c23)cc1
60,CC(C)(C)c1ccc(C2=Cc3c(cc(-c4ccc(C(C)(C)C)s4)n(O)c3=O)C(=O)C2)s1
61,CC(C)(C)c1ccc2c(c1)N(N)/C(=C1\C(=O)c3ccc(C(C)(C)C)cc3N1N)C2=O
62,CC(C)(C)c1ccc2c3c(-c4ccccc4)cc(C(C)(C)C)c4c(C(C)(C)C)cc(-c5ccccc5)c(c5ccc(C(C)(C)C)c1c25)c43
63,CC(C)(C)c1ccc2c3c(C(C)(C)C)cc(C(C)(C)C)c4c(C(C)(C)C)ccc(c5c(C(C)(C)C)cc(C(C)(C)C)c1c25)c43
64,CC(C)=C1c2cc3c(cc2-c2sc4c(sc5cc(C)sc54)c21)C(=C(C)C)c1c-3sc2c1sc1cc(C)sc12
65,CC(C)c1ccc(-c2c3ccc(C(C)(C)C)cc3c(-c3ccccc3)c3c(-c4ccc(C(C)(C)C)cc4)c4ccc(C(C)(C)C)cc4c(-c4ccccc4)c23)cc1
66,CC(C)c1ccc(C2=C3C(=O)N(c4ccccc4)C(c4ccc(-c5cc6sc(C(C)C)cc6s5)s4)=C3C(=O)N2c2ccccc2)s1
67,CC(C)c1cccc(C(C)C)c1-n1c(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c1=O)c2c37)c64)-c1ccc(N(c2ccc(C(C)(C)CC(C)(C)C)cc2)c2ccc(C(C)(C)CC(C)(C)C)cc2)cc1C5
68,CC(C)c1cccc(C(C)C)c1-n1c(=O)c2ccc3c4cccc5c(-c6cc7ccccc7[nH]6)ccc(c6ccc(c1=O)c2c36)c54
69,CC(C)c1cccc(C(C)C)c1-n1c(=O)c2ccc3c4cccc5c(-c6ccc(-c7ccc8c9ccc%10c(=O)n(-c%11c(C(C)C)cccc%11C(C)C)c(=O)c%11ccc(c%12cccc7c%128)c9c%11%10)s6)ccc(c6ccc(c1=O)c2c36)c54
70,CC(C)c1cccc(C(C)C)c1-n1c(=O)c2ccc3c4cccc5c(-c6ccc(N(C)C)cc6)ccc(c6ccc(c1=O)c2c36)c54
71,CC(N)=C(N)c1ccc2c3ccc(-c4sc(-c5ccc(C6=C7C(=O)N(N)C(c8ccc(-c9cc(N)c(C)s9)s8)=C7C(=O)N6N)s5)cc4N)cc3n(N)c2c1
72,CC(S)=C(S)c1ccc2c3ccc(-c4sc(-c5ccc(C6=C7C(=O)N(S)C(c8ccc(-c9cc(S)c(C)s9)s8)=C7C(=O)N6S)s5)cc4S)cc3n(S)c2c1
73,CC1(C)CC(C)(C)c2c1cnc1cc3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c3cc21
74,CC1(C)CC(C=Cc2ccc(N(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=CC(=C(C#N)C(=O)O)C1
75,CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C=C(C#N)C#N)s6)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21
76,CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(C=C(C#N)C#N)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21
